"","X","Report.Number","Supplemental.Number","Accident.Year","Accident.Date.Time","Operator.ID","Operator.Name","Pipeline.Facility.Name","Pipeline.Location","Pipeline.Type","Liquid.Type","Liquid.Subtype","Liquid.Name","Accident.City","Accident.County","Accident.State","Accident.Latitude","Accident.Longitude","Cause.Category","Cause.Subcategory","Unintentional.Release..Barrels.","Intentional.Release..Barrels.","Liquid.Recovery..Barrels.","Net.Loss..Barrels.","Liquid.Ignition","Liquid.Explosion","Pipeline.Shutdown","Shutdown.Date.Time","Restart.Date.Time","Public.Evacuations","Operator.Employee.Injuries","Property.Damage.Costs","Lost.Commodity.Costs","Public.Private.Property.Damage.Costs","Emergency.Response.Costs","Environmental.Remediation.Costs","Other.Costs","All.Costs"
"47",61,20100034,18573,2010,"3/11/2010 10:00 AM",11169,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP","SUPERIOR TERMINAL","ONSHORE","UNDERGROUND","CRUDE OIL","","","SUPERIOR","DOUGLAS","WI",46.68889,-92.05972,"NATURAL FORCE DAMAGE","TEMPERATURE",0.75,0,0.75,0,"NO","NO","NO","","",0,0,1000,60,0,5000,2000,0,8060
"50",66,20100042,15676,2010,"3/16/2010 11:10 AM",18092,"SFPP, LP","LS 20","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","MIXTURE OF REFINED PRODUCTS (TRANSMIX OR OTHER MIXTURE)","","SACRAMENTO","SACRAMENTO","CA",38.5997,-121.4483,"CORROSION","INTERNAL",48,0,5.12,42.88,"NO","NO","YES","3/16/2010 11:16","3/18/2010 1:16",0,0,60000,490,0,70000,299510,50000,480000
"51",67,20100041,18578,2010,"3/18/2010 3:30 PM",31947,"ENBRIDGE PIPELINES (OZARK) L.L.C.","CUSHING TERMINAL","ONSHORE","UNDERGROUND","CRUDE OIL","","","CUSHING","PAYNE","OK",35.95885,-96.75655,"CORROSION","EXTERNAL",7,0,7,0,"NO","NO","YES","3/18/2010 16:00","",0,0,25000,0,0,6000,5000,18000,54000
"52",68,20100048,17901,2010,"3/20/2010 12:03 PM",31325,"PACIFIC PIPELINE SYSTEM LLC","KELLEY PUMP STATION","ONSHORE","UNDERGROUND","CRUDE OIL","","","METTLER","KERN","CA",35.01937,-119.06305,"CORROSION","INTERNAL",240,0,240,0,"NO","NO","YES","3/20/2010 12:53","3/23/2010 17:00",0,0,0,800,0,2000,8000,6000,16800
"55",71,20100046,18410,2010,"3/23/2010 2:00 PM",2552,"COLONIAL PIPELINE CO","BATON ROUGE STATION","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","GASOLINE (NON-ETHANOL)","","JACKSON","EAST FELICIANA","LA",30.71121,-91.28349,"CORROSION","INTERNAL",1.35,0,1.35,0,"NO","NO","","","",0,0,166,107,0,4500,0,0,4773
"60",81,20100058,16748,2010,"3/30/2010 2:00 PM",31618,"ENTERPRISE PRODUCTS OPERATING LLC","EAST LEG BLUE LINE","ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","OTHER HVL","PROPANE","SALISBURY","CHARITON","MO",39.46308,-92.87136,"NATURAL FORCE DAMAGE","EARTH MOVEMENT",656,0,0,656,"NO","NO","YES","3/30/2010 14:07","4/2/2010 17:20",16,0,81600,29000,0,0,0,0,110600
"61",82,20100052,18411,2010,"3/31/2010 9:00 AM",2552,"COLONIAL PIPELINE CO","HANCOCK STATION","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","MIXTURE OF REFINED PRODUCTS (TRANSMIX OR OTHER MIXTURE)","","CHARLOTTE COURTHOUSE","CHARLOTTE","VA",37.15778,-78.835,"NATURAL FORCE DAMAGE","TEMPERATURE",1.2,0,1.2,0,"NO","NO","NO","","",0,0,30,140,0,56000,67226,0,123396
"62",84,20100056,17412,2010,"4/5/2010 7:55 AM",22610,"MAGELLAN PIPELINE COMPANY, LP","WEST TULSA TERMINAL","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL","","TULSA","TULSA","OK",36.13252,-96.02906,"MATERIAL/WELD/EQUIP FAILURE","THREADED CONNECTION/COUPLING FAILURE",0.12,0,0.12,0,"NO","NO","","","",0,0,8000,12,0,0,0,0,8012
"63",85,20110155,17221,2010,"4/5/2010 9:10 AM",32483,"BRIDGER LAKE, LLC","BRIDGER LAKE","ONSHORE","UNDERGROUND","CRUDE OIL","","","ROBERTSON","UINTA","WY",41.184974,-110.410612,"INCORRECT OPERATION","PIPELINE/EQUIPMENT OVERPRESSURED",0,0,0,0,"YES","NO","YES","4/5/2010 9:10","",0,0,0,0,0,0,0,4e+06,4000000
"65",89,20100060,18676,2010,"4/7/2010 10:45 AM",22610,"MAGELLAN PIPELINE COMPANY, LP","","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL","","WALNUT SPRINGS","BOSQUE","TX",32.06374,-97.81895,"MATERIAL/WELD/EQUIP FAILURE","CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",0.71,0,0.71,0,"NO","NO","YES","","",0,0,14500,90,0,4000,18000,0,36590
"68",95,20100077,18359,2010,"4/13/2010 12:25 PM",4805,"EXPLORER PIPELINE CO","PORT ARTHUR TANK FARM","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL","","PORT ARTHUR","JEFFERSON","TX",29.90083,-94.00556,"MATERIAL/WELD/EQUIP FAILURE","THREADED CONNECTION/COUPLING FAILURE",0.1,0,0.1,0,"NO","NO","NO","","",0,0,0,9,0,0,30008,72952,102969
"69",96,20100076,18362,2010,"4/14/2010 11:30 AM",4906,"EXXONMOBIL PIPELINE CO","LONGVIEW  PIPELINE STATION- LINE CODE 2942127","ONSHORE","UNDERGROUND","CRUDE OIL","","","LONGVIEW","GREGG  COUNTY, TEXAS","TX",32.47413,-94.7185,"CORROSION","INTERNAL",0.84,0,0.84,0,"NO","NO","NO","","",0,0,0,86,0,5000,0,0,5086
"71",98,20100068,17803,2010,"4/16/2010 8:14 AM",19237,"TE PRODUCTS PIPELINE COMPANY, LLC","","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","MIXTURE OF REFINED PRODUCTS (TRANSMIX OR OTHER MIXTURE)","","QULIN","BUTLER","MO",36.5746,-90.1886,"MATERIAL/WELD/EQUIP FAILURE","NON-THREADED CONNECTION FAILURE",0.98,0,0.98,0,"NO","NO","NO","","",0,0,5000,0,0,0,0,0,5000
"73",100,20100081,21414,2010,"4/17/2010 7:00 PM",11169,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP","LINE 2","ONSHORE","UNDERGROUND","CRUDE OIL","","","DEER RIVER","ITASCA","MN",47.31006,-93.73207,"MATERIAL/WELD/EQUIP FAILURE","MANUFACTURING-RELATED",5,0,4,1,"NO","NO","YES","4/17/2010 19:00","4/18/2010 19:10",0,0,550000,350,20000,180000,216000,0,966350
"74",101,20100085,17162,2010,"4/20/2010 2:56 PM",22610,"MAGELLAN PIPELINE COMPANY, LP","#3-6"" MASON CITY TO MANKATO LINE","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","GASOLINE (NON-ETHANOL)","","PEMBERTON","BLUE EARTH","MN",44.000221,-93.782668,"MATERIAL/WELD/EQUIP FAILURE","OTHER EQUIPMENT FAILURE",25,0,25,0,"NO","NO","YES","4/20/2010 14:56","4/21/2010 12:52",0,0,6500,675,500,75000,60000,0,142675
"75",102,20100083,16118,2010,"4/23/2010 4:32 PM",31618,"ENTERPRISE PRODUCTS OPERATING LLC","WEST LEG RED LINE","ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","OTHER HVL","NATURAL GASOLINE","SOLOMON","OTTAWA","KS",38.98742,-97.4042,"EXCAVATION DAMAGE","PREVIOUS DAMAGE DUE TO EXCAVATION",1669,0,10,1659,"NO","NO","YES","4/23/2010 16:39","4/29/2010 18:00",3,0,170034,129618,2460,110000,163297,0,575409
"76",103,20100079,17966,2010,"4/24/2010 7:30 PM",32147,"MARATHON PIPE LINE LLC","GARYVILLE TO ZACHARY 20"" - ZACHARY STATION","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","MIXTURE OF REFINED PRODUCTS (TRANSMIX OR OTHER MIXTURE)","","JACKSON","EAST FELICIANA","LA",30.70863,-91.27566,"OTHER OUTSIDE FORCE DAMAGE","VEHICLE NOT ENGAGED IN EXCAVATION",13,0,13,0,"NO","NO","NO","","",0,0,0,1149,0,46135,0,0,47284
"79",106,20100096,17243,2010,"4/26/2010 10:18 AM",2731,"CHEVRON PIPE LINE CO","SALT LAKE PRODUCTS","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL","","TWIN FALLS","HANSEN","ID",42.51862,-114.27034,"CORROSION","EXTERNAL",22,0,21,1,"NO","NO","YES","4/26/2010 10:20","4/27/2010 18:30",0,0,38199,2772,0,15060,36825,0,92856
"80",107,20100094,19217,2010,"4/26/2010 10:35 AM",12105,"MAGELLAN AMMONIA PIPELINE, L.P.","AMMONIA LINE WEST LEG","ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","ANHYDROUS AMMONIA","","MCPHERSON","MCPHERSON","KS",38.47623,-97.72254,"MATERIAL/WELD/EQUIP FAILURE","MALFUNCTION OF CONTROL/RELIEF EQUIPMENT",2,0,0,2,"NO","NO","YES","4/26/2010 10:35","4/26/2010 14:54",0,0,10000,153,2500,13000,92000,0,117653
"83",111,20100098,15127,2010,"4/28/2010 12:55 PM",12105,"MAGELLAN AMMONIA PIPELINE, L.P.","WHITING TO EARLY SEGMENT","ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","ANHYDROUS AMMONIA","","SCHALLER","IDA","IA",42.45589,-95.32798,"MATERIAL/WELD/EQUIP FAILURE","CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",0.36,0.05,0,0.36,"NO","NO","NO","","",0,0,12000,30,5000,0,15000,0,32030
"84",112,20100095,20271,2010,"4/29/2010 9:55 AM",32109,"ONEOK NGL PIPELINE LP","EL DORADO 6 INCH","ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","OTHER HVL","ISO BUTANE","TOWANDA","BUTLER","KS",37.81654,-97.02048,"EXCAVATION DAMAGE","THIRD PARTY EXCAVATION DAMAGE",770,606,0,770,"NO","NO","YES","4/29/2010 9:55","5/1/2010 14:26",0,0,43500,50127,0,0,0,0,93627
"87",116,20100105,18324,2010,"5/7/2010 1:00 PM",26125,"CALNEV PIPELINE CO","LAS VEGAS TERMINAL","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL","","LAS VEGAS","CLARK","NV",36.253344,-115.045311,"CORROSION","EXTERNAL",5.75,0,5.75,0,"NO","NO","NO","","",0,0,14000,518,0,0,25000,0,39518
"95",127,20100118,15866,2010,"5/20/2010 10:30 AM",2731,"CHEVRON PIPE LINE CO","WEST TEXAS LPG","ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID)","","GORDON","PALO PINTO","TX",32.56184,-98.350678,"CORROSION","EXTERNAL",4.1,115,0,4.1,"NO","NO","YES","5/20/2010 10:40","5/23/2010 20:00",0,0,35000,20000,0,15000,0,0,70000
"97",129,20110375,19324,2010,"5/20/2010 4:30 PM",31476,"SEMGROUP LP","HANSTON DISCHARGE","ONSHORE","UNDERGROUND","CRUDE OIL","","","HUDSON","STAFFORD","KS",38.1019,-98.856419,"CORROSION","INTERNAL",0.12,0,0,0.12,"NO","NO","","","",0,0,10000,12,0,500,500,0,11012
"98",130,20100093,21865,2010,"5/20/2010 5:30 PM",32147,"MARATHON PIPE LINE LLC","CANTON - EAST SPARTA #1-6""","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL","","EAST SPARTA","STARK","OH",40.70942,-81.36428,"MATERIAL/WELD/EQUIP FAILURE","CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",10,0,10,0,"NO","NO","NO","","",0,0,233000,800,0,99257,720000,0,1053057
"99",131,20100119,17791,2010,"5/21/2010 1:45 PM",32334,"TC OIL PIPELINE OPERATIONS INC","CARPENTER PUMP STATION ","ONSHORE","UNDERGROUND","CRUDE OIL","","","CARPENTER ","BEADLE ","SD",44.62351,-97.92161,"MATERIAL/WELD/EQUIP FAILURE","THREADED CONNECTION/COUPLING FAILURE",0.11,0,0,0.11,"NO","NO","YES","5/21/2010 14:00","5/27/2010 9:00",0,0,2500,8,0,155000,50000,0,207508
"100",132,20100120,15162,2010,"5/23/2010 6:30 AM",300,"PLAINS PIPELINE, L.P.","COLORADO CITY BASIN STATION","ONSHORE","UNDERGROUND","CRUDE OIL","","","COLORADO CITY","SCURRY","TX",32.53091,-100.83715,"CORROSION","INTERNAL",4,0,4,0,"NO","NO","YES","5/23/2010 7:45","5/23/2010 9:30",0,0,1300,340,0,2445,3350,2530,9965
"105",138,20100127,17717,2010,"5/27/2010 12:45 PM",18718,"SUNOCO PIPELINE L.P.","CORSICANA STATION","ONSHORE","UNDERGROUND","CRUDE OIL","","","CORSICANA","NAVARRO","TX",32.06839,-96.4708,"CORROSION","INTERNAL",0.36,0,0,0.36,"NO","NO","NO","","",0,0,6428,30,0,2481,560,0,9499
"106",139,20100107,15747,2010,"5/27/2010 1:40 PM",9175,"JAYHAWK PIPELINE LLC","ARNOLD TO HOLTZINGER 4""/6""","ONSHORE","UNDERGROUND","CRUDE OIL","","","","TREGO","KS",38.72582,-99.73018,"EXCAVATION DAMAGE","THIRD PARTY EXCAVATION DAMAGE",1,0,0,1,"NO","NO","YES","5/27/2010 13:42","5/27/2010 21:20",0,0,1500,65,0,3000,200,0,4765
"108",141,20100130,19913,2010,"5/29/2010 12:34 PM",395,"AMOCO OIL CO","MP 97.9","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","GASOLINE (NON-ETHANOL)","","CONSTANTINE ","ST. JOSEPH","MI",41.844019,-85.741131,"MATERIAL/WELD/EQUIP FAILURE","MANUFACTURING-RELATED",2121,0,1001,1120,"NO","NO","YES","5/29/2010 12:37","6/2/2010 14:15",12,0,275000,267246,45000,278000,1100000,0,1965246
"110",144,20100117,18415,2010,"5/31/2010 10:00 AM",2552,"COLONIAL PIPELINE CO","SPARTANBURG DELIVERY FACILITY","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL","","SPARTANBURG","SPARTANBURG","SC",34.91801,-81.87401,"CORROSION","EXTERNAL",1.29,0,1.29,0,"NO","NO","YES","5/31/2010 10:00","6/1/2010 0:01",0,0,12000,58,0,0,10000,0,22058
"111",145,20100139,17395,2010,"6/1/2010 10:00 AM",2731,"CHEVRON PIPE LINE CO","SAN JOAQUIN VALLEY CRUDE SYSTEM","ONSHORE","UNDERGROUND","CRUDE OIL","","","MCKITTRICK","KERN","CA",35.467203,-119.703991,"CORROSION","EXTERNAL",508,0,500,8,"NO","NO","YES","6/1/2010 10:05","2/12/2011 11:30",0,0,59400,600,0,40000,50000,0,150000
"112",146,20100122,18809,2010,"6/1/2010 12:45 PM",31618,"ENTERPRISE PRODUCTS OPERATING LLC","4"" PORT ARTHUR REFINERY GRADE BUTANE","ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID)","","DAYTON","LIBERTY","TX",29.88878,-94.84975,"EXCAVATION DAMAGE","THIRD PARTY EXCAVATION DAMAGE",1,0,0,1,"NO","NO","YES","6/1/2010 12:46","6/9/2010 20:00",0,0,150,0,0,0,0,0,150
"115",150,20100128,15222,2010,"6/5/2010 10:30 AM",30755,"CITGO PRODUCTS PIPELINE CO","CITGO - CASA PIPELINE SYSTEM","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL","","VICTORIA","VICTORIA","TX",28.85030001,-97.00220001,"MATERIAL/WELD/EQUIP FAILURE","CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",2,0,2,0,"NO","NO","YES","6/5/2010 10:31","6/5/2010 19:45",0,0,88506,252,10000,2000,50000,0,150758
"117",152,20100142,15621,2010,"6/7/2010 12:50 PM",32147,"MARATHON PIPE LINE LLC","WABASH 12"" PRODUCTS","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL","","ASHMORE","COLES","IL",39.506925,-88.065491,"MATERIAL/WELD/EQUIP FAILURE","MANUFACTURING-RELATED",0.1,0,0.1,0,"NO","NO","YES","6/7/2010 13:00","6/8/2010 6:23",0,0,0,10,0,145736,141318,0,287064
"119",154,20100140,18625,2010,"6/8/2010 3:45 PM",11169,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP","LINE 6A","ONSHORE","UNDERGROUND","CRUDE OIL","","","MARSHFIELD","WOOD","WI",44.67167,-90.24833,"MATERIAL/WELD/EQUIP FAILURE","CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",1,0,1,0,"NO","NO","YES","6/8/2010 16:00","6/9/2010 20:05",0,0,8000,0,0,9000,313000,0,330000
"124",159,20100113,15146,2010,"6/11/2010 7:00 AM",1248,"BELLE FOURCHE PIPELINE CO","","ONSHORE","UNDERGROUND","CRUDE OIL","","","","","WY",42.20753,-104.51014,"CORROSION","EXTERNAL",0.36,0,0.24,0.12,"NO","NO","NO","","",0,0,750,300,0,400,6050,0,7500
"125",160,20130124,17760,2010,"6/11/2010 7:00 PM",12624,"MOBIL CORP","24"" SUN-BEAUMONT TERMINAL CRUDE","ONSHORE","UNDERGROUND","CRUDE OIL","","","BEAUMONT","JEFFERSON","TX",30.05006,-94.07014,"CORROSION","INTERNAL",2.11,0,2.11,0,"NO","NO","","","",0,0,24421,160,0,0,2000,0,26581
"131",168,20100136,15362,2010,"6/23/2010 12:08 PM",31174,"SHELL PIPELINE CO., L.P.","BENGAL 24"" ","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","MIXTURE OF REFINED PRODUCTS (TRANSMIX OR OTHER MIXTURE)","","GRAMERCY","ST. JAMES","LA",30.124278,-90.768367,"MATERIAL/WELD/EQUIP FAILURE","MALFUNCTION OF CONTROL/RELIEF EQUIPMENT",0.24,0,0,0.24,"NO","NO","YES","6/23/2010 12:08","6/23/2010 23:31",0,0,75000,30,0,4000,362809.440258342,0,79030
"134",172,20100158,21757,2010,"6/30/2010 4:58 AM",22610,"MAGELLAN PIPELINE COMPANY, LP","#1-8"" IRVINGTON TO OMAHA LINE","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","GASOLINE (NON-ETHANOL)","","OMAHA","DOUGLAS","NE",41.31825,-95.93717,"CORROSION","EXTERNAL",184.14,0,148,36.14,"NO","NO","YES","6/30/2010 5:00","7/2/2010 17:15",34,0,6000,3100,35000,620000,130000,12994,807094
