"","Report.Number","Supplemental.Number","Accident.Year","Accident.Date.Time","Operator.ID","Operator.Name","Pipeline.Facility.Name","Pipeline.Location","Pipeline.Type","Liquid.Type","Liquid.Subtype","Liquid.Name","Accident.City","Accident.County","Accident.State","Accident.Latitude","Accident.Longitude","Cause.Category","Cause.Subcategory","Unintentional.Release..Barrels.","Intentional.Release..Barrels.","Liquid.Recovery..Barrels.","Net.Loss..Barrels.","Liquid.Ignition","Liquid.Explosion","Pipeline.Shutdown","Shutdown.Date.Time","Restart.Date.Time","Public.Evacuations","Operator.Employee.Injuries","Operator.Contractor.Injuries","Emergency.Responder.Injuries","Other.Injuries","Public.Injuries","All.Injuries","Operator.Employee.Fatalities","Operator.Contractor.Fatalities","Emergency.Responder.Fatalities","Other.Fatalities","Public.Fatalities","All.Fatalities","Property.Damage.Costs","Lost.Commodity.Costs","Public.Private.Property.Damage.Costs","Emergency.Response.Costs","Environmental.Remediation.Costs","Other.Costs","All.Costs"
"42",20100036,17417,2010,"2/17/2010 5:45 PM",22610,"MAGELLAN PIPELINE COMPANY, LP","KANSAS CITY PUMP STATION","ONSHORE","TANK","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL","","KANSAS CITY","WYANDOTTE","KS",39.13776,-94.5968,"MATERIAL/WELD/EQUIP FAILURE","PUMP OR PUMP-RELATED EQUIPMENT",0.12,NA,0.12,0,"NO","NO","NO","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,14,0,0,500,0,1514
"47",20100006,17891,2010,"2/22/2010 10:56 AM",31684,"CONOCOPHILLIPS","NORTH SPOKANE","ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL","","SPOKANE","SPOKANE","WA",47.71696,-117.35583,"INCORRECT OPERATION","INCORRECT VALVE POSITION",0.71,NA,0,0.71,"NO","NO","NO","","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,90,0,2200,6000,0,8790
"60",20100023,17723,2010,"3/9/2010 2:15 PM",18718,"SUNOCO PIPELINE L.P.","CORSICANA STATION","ONSHORE","UNDERGROUND","CRUDE OIL","","","CORSICANA","NAVARRO","TX",32.06839,-96.47081,"MATERIAL/WELD/EQUIP FAILURE","CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",1,NA,0.05,0.95,"NO","NO","NO","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17019,78,0,7967,1000,0,26064
"72",20100050,17884,2010,"3/23/2010 6:30 PM",31684,"CONOCOPHILLIPS","LOUISIANA GATHERING SYSTEM","ONSHORE","ABOVEGROUND","CRUDE OIL","","","WESTLAKE","CALCASIEU PARISH","LA",30.241,-93.27546,"MATERIAL/WELD/EQUIP FAILURE","NON-THREADED CONNECTION FAILURE",0.24,NA,0.24,0,"NO","NO","YES","3/23/2010 18:30","3/23/2010 21:26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,20,0,2000,1000,0,3520
"82",20100052,18411,2010,"3/31/2010 9:00 AM",2552,"COLONIAL PIPELINE CO","HANCOCK STATION","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","MIXTURE OF REFINED PRODUCTS (TRANSMIX OR OTHER MIXTURE)","","CHARLOTTE COURTHOUSE","CHARLOTTE","VA",37.15778,-78.835,"NATURAL FORCE DAMAGE","TEMPERATURE",1.2,0,1.2,0,"NO","NO","NO","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,140,0,56000,67226,0,123396
"84",20100056,17412,2010,"4/5/2010 7:55 AM",22610,"MAGELLAN PIPELINE COMPANY, LP","WEST TULSA TERMINAL","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL","","TULSA","TULSA","OK",36.13252,-96.02906,"MATERIAL/WELD/EQUIP FAILURE","THREADED CONNECTION/COUPLING FAILURE",0.12,0,0.12,0,"NO","NO","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8000,12,0,0,0,0,8012
"88",20100028,17928,2010,"4/7/2010 1:46 AM",2730,"CHEVRON PRODUCTS COMPANY","","ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL","","LOUISVILLE","JEFFERSON","KY",38.1337,-85.5012,"MATERIAL/WELD/EQUIP FAILURE","PUMP OR PUMP-RELATED EQUIPMENT",4,0,4,0,"YES","NO","YES","4/7/2010 1:46","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45000,504,0,35000,20000,0,100504
"91",20100062,17649,2010,"4/9/2010 2:00 PM",300,"PLAINS PIPELINE, L.P.","COLORADO CITY STATION","ONSHORE","TANK","CRUDE OIL","","","HERMLEIGH","SCURRY","TX",32.5375,-100.8377,"MATERIAL/WELD/EQUIP FAILURE","NON-THREADED CONNECTION FAILURE",0.36,0,0.36,0,"NO","NO","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,30,0,125,125,1500,1780
"95",20100077,18359,2010,"4/13/2010 12:25 PM",4805,"EXPLORER PIPELINE CO","PORT ARTHUR TANK FARM","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL","","PORT ARTHUR","JEFFERSON","TX",29.90083,-94.00556,"MATERIAL/WELD/EQUIP FAILURE","THREADED CONNECTION/COUPLING FAILURE",0.1,0,0.1,0,"NO","NO","NO","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9,0,0,30008,72952,102969
"96",20100076,18362,2010,"4/14/2010 11:30 AM",4906,"EXXONMOBIL PIPELINE CO","LONGVIEW  PIPELINE STATION- LINE CODE 2942127","ONSHORE","UNDERGROUND","CRUDE OIL","","","LONGVIEW","GREGG  COUNTY, TEXAS","TX",32.47413,-94.7185,"CORROSION","INTERNAL",0.84,0,0.84,0,"NO","NO","NO","","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,86,0,5000,0,0,5086
"99",20100149,17981,2010,"4/16/2010 9:35 AM",22855,"KOCH PIPELINE COMPANY, L.P.","REFUGIO PUMP STATION","ONSHORE","ABOVEGROUND","CRUDE OIL","","","REFUGIO","REFUGIO","TX",28.279502,-97.29544,"MATERIAL/WELD/EQUIP FAILURE","PUMP OR PUMP-RELATED EQUIPMENT",0.12,0,0,0.12,"NO","NO","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9,0,0,2500,0,2509
"102",20100083,16118,2010,"4/23/2010 4:32 PM",31618,"ENTERPRISE PRODUCTS OPERATING LLC","WEST LEG RED LINE","ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","OTHER HVL","NATURAL GASOLINE","SOLOMON","OTTAWA","KS",38.98742,-97.4042,"EXCAVATION DAMAGE","PREVIOUS DAMAGE DUE TO EXCAVATION",1669,0,10,1659,"NO","NO","YES","4/23/2010 16:39","4/29/2010 18:00",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170034,129618,2460,110000,163297,0,575409
"113",20100099,17865,2010,"4/29/2010 5:20 PM",1845,"BUCKEYE PARTNERS, LP","LINDEN STATION","ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","MIXTURE OF REFINED PRODUCTS (TRANSMIX OR OTHER MIXTURE)","","LINDEN","UNION","NJ",40.6054,-74.2383,"MATERIAL/WELD/EQUIP FAILURE","PUMP OR PUMP-RELATED EQUIPMENT",0.71,0,0.71,0,"NO","NO","NO","","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2007,21600,0,23607
"114",20100073,17802,2010,"4/30/2010 7:00 AM",19237,"TE PRODUCTS PIPELINE COMPANY, LLC","NORTH PORT ARTHUR TERMINAL","ONSHORE","TANK","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","GASOLINE (NON-ETHANOL)","","PORT ARTHUR","JEFFERSON","TX",29.91232,-94.01006,"INCORRECT OPERATION","OVERFILL/OVERFLOW OF TANK/VESSEL/SUMP",1,NA,0.95,0.05,"NO","NO","NO","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1800,1800
"117",20100086,17994,2010,"5/10/2010 8:00 AM",31570,"TESORO - HIGH PLAINS PIPELINE COMPANY","TIOGA HIGH PLAINS PIPELINE","ONSHORE","ABOVEGROUND","CRUDE OIL","","","TIOGA","WILLIAMS COUNTY","ND",48.39475,-102.9138,"MATERIAL/WELD/EQUIP FAILURE","PUMP OR PUMP-RELATED EQUIPMENT",40,0,40,0,"NO","NO","YES","5/10/2010 8:00","5/10/2010 14:00",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,0,0,0,5000,0,5100
"120",20100112,17650,2010,"5/16/2010 12:00 AM",300,"PLAINS PIPELINE, L.P.","CRANE WEST","ONSHORE","ABOVEGROUND","CRUDE OIL","","","CRANE","CRANE","TX",31.42962,-102.380665,"MATERIAL/WELD/EQUIP FAILURE","OTHER EQUIPMENT FAILURE",9,0,9,0,"NO","NO","YES","5/16/2010 7:40","5/16/2010 10:00",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,425,0,700,10000,250,11375
"127",20100118,15866,2010,"5/20/2010 10:30 AM",2731,"CHEVRON PIPE LINE CO","WEST TEXAS LPG","ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID)","","GORDON","PALO PINTO","TX",32.56184,-98.350678,"CORROSION","EXTERNAL",4.1,115,0,4.1,"NO","NO","YES","5/20/2010 10:40","5/23/2010 20:00",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35000,20000,0,15000,0,0,70000
"128",20100114,15966,2010,"5/20/2010 3:50 PM",1845,"BUCKEYE PARTNERS, LP","LINDEN TO NY STATE LINE","ONSHORE","TRANSITION AREA","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL","","LINDEN","UNION","NJ",40.61428,-74.21755,"CORROSION","EXTERNAL",1,0,1,0,"NO","NO","YES","5/20/2010 15:50","5/21/2010 15:42",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169800,25,0,50000,84870,500,305195
"138",20100127,17717,2010,"5/27/2010 12:45 PM",18718,"SUNOCO PIPELINE L.P.","CORSICANA STATION","ONSHORE","UNDERGROUND","CRUDE OIL","","","CORSICANA","NAVARRO","TX",32.06839,-96.4708,"CORROSION","INTERNAL",0.36,0,0,0.36,"NO","NO","NO","","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6428,30,0,2481,560,0,9499
"145",20100139,17395,2010,"6/1/2010 10:00 AM",2731,"CHEVRON PIPE LINE CO","SAN JOAQUIN VALLEY CRUDE SYSTEM","ONSHORE","UNDERGROUND","CRUDE OIL","","","MCKITTRICK","KERN","CA",35.467203,-119.703991,"CORROSION","EXTERNAL",508,0,500,8,"NO","NO","YES","6/1/2010 10:05","2/12/2011 11:30",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59400,600,0,40000,50000,0,150000
"146",20100122,18809,2010,"6/1/2010 12:45 PM",31618,"ENTERPRISE PRODUCTS OPERATING LLC","4"" PORT ARTHUR REFINERY GRADE BUTANE","ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID)","","DAYTON","LIBERTY","TX",29.88878,-94.84975,"EXCAVATION DAMAGE","THIRD PARTY EXCAVATION DAMAGE",1,0,0,1,"NO","NO","YES","6/1/2010 12:46","6/9/2010 20:00",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,0,0,0,0,0,150
"161",20100146,20625,2010,"6/12/2010 7:42 AM",2731,"CHEVRON PIPE LINE CO","RED BUTTE CREEK ","ONSHORE","UNDERGROUND","CRUDE OIL","","","SALT LAKE CITY","SALT LAKE","UT",40.76505,-111.82493,"OTHER OUTSIDE FORCE DAMAGE","ELECTRICAL ARCING FROM OTHER EQUIPMENT/FACILITY",800,NA,778,22,"NO","NO","YES","6/12/2010 7:42","6/21/2010 9:05",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153554,0,0,18423499,13656687,0,32233740
"166",20100148,17713,2010,"6/16/2010 11:35 AM",18718,"SUNOCO PIPELINE L.P.","COLMESNEIL STATION","ONSHORE","ABOVEGROUND","CRUDE OIL","","","COLMESNEIL","TYLER","TX",30.94037,-94.40322,"MATERIAL/WELD/EQUIP FAILURE","PUMP OR PUMP-RELATED EQUIPMENT",0.14,0,0,0.14,"NO","NO","YES","6/16/2010 11:35","6/16/2010 19:30",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,11,0,2000,2000,0,5011
"172",20100158,21757,2010,"6/30/2010 4:58 AM",22610,"MAGELLAN PIPELINE COMPANY, LP","#1-8"" IRVINGTON TO OMAHA LINE","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","GASOLINE (NON-ETHANOL)","","OMAHA","DOUGLAS","NE",41.31825,-95.93717,"CORROSION","EXTERNAL",184.14,0,148,36.14,"NO","NO","YES","6/30/2010 5:00","7/2/2010 17:15",34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6000,3100,35000,620000,130000,12994,807094
"179",20100162,18331,2010,"7/6/2010 9:45 AM",32288,"WHITE CLIFFS PIPELINE, LLC","CUSHING TERMINAL","ONSHORE","ABOVEGROUND","CRUDE OIL","","","CUSHING","OKLAHOMA","OK",36.01526,-96.75729,"MATERIAL/WELD/EQUIP FAILURE","MALFUNCTION OF CONTROL/RELIEF EQUIPMENT",3.5,0,3,0.5,"NO","NO","YES","7/6/2010 10:00","7/6/2010 16:00",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,280,0,2000,0,0,2280
"180",20100167,18582,2010,"7/7/2010 12:00 PM",4906,"EXXONMOBIL PIPELINE CO","CLEAR LAKE DILUTE PROPYLENE PUMP STA","ONSHORE","ABOVEGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","OTHER HVL","DILUTE PROPYLENE","PASADENA","HARRIS","TX",29.630833,-95.119722,"MATERIAL/WELD/EQUIP FAILURE","PUMP OR PUMP-RELATED EQUIPMENT",1.5,0,0,1.5,"NO","NO","YES","7/7/2010 12:00","7/8/2010 18:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6000,250,0,0,0,0,6250
"191",20100154,18848,2010,"7/17/2010 8:30 PM",26041,"KINDER MORGAN LIQUID TERMINALS, LLC","CARTERET TERMINAL","ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","GASOLINE (NON-ETHANOL)","","CARTERET","MIDDLESEX","NJ",40.591463,-74.219176,"NATURAL FORCE DAMAGE","TEMPERATURE",7,NA,7,0,"NO","NO","YES","7/17/2010 21:00","7/18/2010 4:00",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,300,0,5000,20000,0,27300
"195",20100181,19909,2010,"7/25/2010 5:58 PM",11169,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP","LINE 6B","ONSHORE","UNDERGROUND","CRUDE OIL","","","MARSHALL","CALHOUN","MI",42.24329,-84.97251,"MATERIAL/WELD/EQUIP FAILURE","ENVIRONMENTAL CRACKING-RELATED",20082,NA,18245,1837,"NO","NO","YES","7/26/2010 11:17","9/27/2010 10:03",61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3000000,126118,23000000,177000000,635000000,2400000,840526118
"203",20100189,17834,2010,"8/2/2010 8:35 PM",31666,"ROCKY MOUNTAIN PIPELINE SYSTEM, LLC","FOUNTAIN TERMINAL","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","GASOLINE (NON-ETHANOL)","","FOUNTAIN","EL PASO","CO",38.66916,-104.70138,"NATURAL FORCE DAMAGE","LIGHTNING",0.16,0,0.16,0,"NO","NO","YES","8/2/2010 20:35","8/30/2010 14:00",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,17,0,550,0,0,567
"213",20100199,16670,2010,"8/17/2010 8:30 AM",1845,"BUCKEYE PARTNERS, LP","LONG ISLAND CITY TO MOTIVA GAS","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","GASOLINE (NON-ETHANOL)","","BROOKLYN","KINGS","NY",40.73625,-73.94435,"CORROSION","EXTERNAL",0.23,NA,0.23,0,"NO","NO","YES","8/17/2010 8:30","8/19/2010 18:56",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,135935,363400,0,499335
"217",20100200,17789,2010,"8/19/2010 8:30 AM",32334,"TC OIL PIPELINE OPERATIONS INC","HARTINGTON PUMP STATION","ONSHORE","ABOVEGROUND","CRUDE OIL","","","HARTINGTON","CEDAR","NE",42.63521,-97.3371,"MATERIAL/WELD/EQUIP FAILURE","MALFUNCTION OF CONTROL/RELIEF EQUIPMENT",0.24,0,0.24,0,"NO","NO","NO","","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,18,0,5000,28000,0,33018
"218",20100263,17850,2010,"8/19/2010 11:35 PM",26094,"NUSTAR TERMINALS OPERATIONS PARTNERSHIP L. P.","ST JAMES TERMINAL 40"" CAPLINE ","ONSHORE","UNDERGROUND","CRUDE OIL","","","ST. JAMES","ST. JAMES","LA",30.02609,-90.85108,"CORROSION","INTERNAL",0.6,0,0.6,0,"NO","NO","NO","","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,28500,0,28500
"227",20100209,17892,2010,"8/27/2010 10:25 AM",31684,"CONOCOPHILLIPS","TANK 1078 AT THE CASPER PUMP STATION","ONSHORE","TANK","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","GASOLINE (NON-ETHANOL)","","EVANSVILLE","NATRONA","WY",42.855444,-106.246861,"INCORRECT OPERATION","INCORRECT INSTALLATION",10,0,0,10,"NO","NO","NO","","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15000,1260,0,0,0,0,16260
"228",20100220,15823,2010,"8/27/2010 4:30 PM",31618,"ENTERPRISE PRODUCTS OPERATING LLC","P-41","ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID)","","GILBOA","SCHOHARIE","NY",42.46833,-74.3515,"MATERIAL/WELD/EQUIP FAILURE","ENVIRONMENTAL CRACKING-RELATED",3283,0,0,3283,"NO","NO","YES","8/27/2010 17:00","2/2/2011 13:35",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1441000,145332,62100,163324,0,0,1811756
"236",20100259,19203,2010,"9/7/2010 2:30 PM",26149,"ALYESKA PIPELINE SERVICE CO","RGV-35A","ONSHORE","ABOVEGROUND","CRUDE OIL","","","COLDFOOT","N/A","AK",67.7987,-149.8164,"MATERIAL/WELD/EQUIP FAILURE","PUMP OR PUMP-RELATED EQUIPMENT",0.12,0,0.12,0,"NO","NO","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,700,8,0,3420,0,0,4128
