"","Report.Number","Supplemental.Number","Accident.Year","Accident.Date.Time","Operator.ID","Operator.Name","Pipeline.Facility.Name","Pipeline.Location","Pipeline.Type","Liquid.Type","Liquid.Subtype","Liquid.Name","Accident.City","Accident.County","Accident.State","Accident.Latitude","Accident.Longitude","Cause.Category","Cause.Subcategory","Unintentional.Release..Barrels.","Intentional.Release..Barrels.","Liquid.Recovery..Barrels.","Net.Loss..Barrels.","Liquid.Ignition","Liquid.Explosion","Pipeline.Shutdown","Shutdown.Date.Time","Restart.Date.Time","Public.Evacuations","Operator.Employee.Injuries","Property.Damage.Costs","Lost.Commodity.Costs","Public.Private.Property.Damage.Costs","Emergency.Response.Costs","Environmental.Remediation.Costs","Other.Costs","All.Costs"
"12",20100262,15399,2010,"1/11/2010 2:47 PM",31454,"NUSTAR LOGISTICS, L.P.","46P HOUSTON 12"" REFINDED PRODUCTS PL","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL","","TAFT","SAN PATRICO","TX",28.05529,-97.32797,"MATERIAL/WELD/EQUIP FAILURE","CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",3,0,3,0,"NO","NO","YES","1/11/2010 14:55","1/11/2010 22:08",0,0,30000,415,10000,7971,308883,0,357269
"14",20100026,17874,2010,"1/11/2010 11:00 PM",31684,"CONOCOPHILLIPS","TANK 824","ONSHORE","TANK","CRUDE OIL","","","CUSHING","PAYNE","OK",35.94466,-96.75427,"NATURAL FORCE DAMAGE","TEMPERATURE",53,0,51,2,"NO","NO","NO","","",0,0,5000,150,0,0,100,32600,37850
"15",20100106,17751,2010,"1/12/2010 10:25 AM",26085,"PLAINS MARKETING, L.P.","CUSHING TERMINAL","ONSHORE","ABOVEGROUND","CRUDE OIL","","","CUSHING","LINCOLN","OK",35.93749,-96.74417,"CORROSION","INTERNAL",21,0,21,0,"NO","NO","YES","1/12/2010 10:25","1/14/2010 10:25",0,0,6826,150,0,13357,0,0,20333
"16",20100082,17824,2010,"1/12/2010 2:30 PM",32080,"CCPS TRANSPORTATION, LLC","CCPS TRANSPORTATION, RUSH STATION","ONSHORE","ABOVEGROUND","CRUDE OIL","","","RUSHVILLE","SCHUYLER","IL",40.16833,-90.56593,"INCORRECT OPERATION","INCORRECT INSTALLATION",0.19,0,0.19,0,"NO","NO","NO","","",0,0,2500,0,0,30000,0,0,32500
"17",20100037,18592,2010,"1/12/2010 7:08 PM",12105,"MAGELLAN AMMONIA PIPELINE, L.P.","MAGELLAN AMMONIA PIPELINE, LP","ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","ANHYDROUS AMMONIA","","PAWNEE","PAWNEE","OK",36.39836,-96.74622,"MATERIAL/WELD/EQUIP FAILURE","ENVIRONMENTAL CRACKING-RELATED",445,5,0,445,"NO","NO","YES","1/12/2010 19:08","1/20/2010 14:34",19,0,175000,34000,68000,324000,1901615,15000,2517615
"18",20100025,17505,2010,"1/13/2010 7:36 AM",31174,"SHELL PIPELINE CO., L.P.","SORRENTO DOME","ONSHORE","ABOVEGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","OTHER HVL","PROPYLENE","SORRENTO","ASCENSION","LA",30.1724,-90.782,"NATURAL FORCE DAMAGE","TEMPERATURE",3.49,0,0,3.49,"NO","NO","NO","","",0,0,0,254,0,0,0,0,254
"19",20110071,18051,2010,"1/13/2010 1:30 PM",26041,"KINDER MORGAN LIQUID TERMINALS, LLC","","ONSHORE","TANK","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","GASOLINE (NON-ETHANOL)","","GALENA PARK","HARRIS","TX",29.4305,-95.1201,"MATERIAL/WELD/EQUIP FAILURE","ENVIRONMENTAL CRACKING-RELATED",6,0,6,0,"NO","NO","NO","","",0,0,0,504,0,0,30000,0,30504
"20",20100100,17975,2010,"1/13/2010 3:30 PM",22855,"KOCH PIPELINE COMPANY, L.P.","PARK RAPIDS PUMP STATION","ONSHORE","ABOVEGROUND","CRUDE OIL","","","MENAHGA","HUBBARD","MN",46.8197,-95.1489,"INCORRECT OPERATION","OVERFILL/OVERFLOW OF TANK/VESSEL/SUMP",0.48,0,0,0.48,"NO","NO","NO","","",0,0,0,34,0,0,64645,2000,66679
"22",20110083,17836,2010,"1/15/2010 7:05 AM",31325,"PACIFIC PIPELINE SYSTEM LLC","LINE 63 SOUTH PACIFIC PIPELINES BP REFINERY TANK F","ONSHORE","ABOVEGROUND","CRUDE OIL","","","CARSON","LOS ANGELES","CA",33.80933,-118.25413,"OTHER OUTSIDE FORCE DAMAGE","VEHICLE NOT ENGAGED IN EXCAVATION",1,0,1,0,"NO","NO","NO","","",0,0,0,75000,0,1e+06,3500000,0,4575000
"24",20100071,17807,2010,"1/18/2010 10:00 AM",19237,"TE PRODUCTS PIPELINE COMPANY, LLC","PRINCETON TERMINAL","ONSHORE","TANK","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID)","","PRINCETON","GIBSON","IN",38.32113,-87.34782,"MATERIAL/WELD/EQUIP FAILURE","THREADED CONNECTION/COUPLING FAILURE",2,0,0,2,"NO","NO","NO","","",0,0,1000,100,0,0,0,0,1100
"26",20100087,18354,2010,"1/19/2010 8:00 PM",4805,"EXPLORER PIPELINE CO","WOOD RIVER TANK FARM","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","GASOLINE (NON-ETHANOL)","","HARTFORD","MADISON","IL",38.82204,-90.07892,"MATERIAL/WELD/EQUIP FAILURE","THREADED CONNECTION/COUPLING FAILURE",3,0,2,1,"NO","NO","YES","1/19/2010 20:01","1/20/2010 9:30",0,0,41000,85,0,5100,0,0,46185
"27",20100091,17835,2010,"1/21/2010 9:30 AM",31325,"PACIFIC PIPELINE SYSTEM LLC","NORTH COLES LEVEE","ONSHORE","TANK","CRUDE OIL","","","TAFT","KERN","CA",35.27901,-119.31192,"MATERIAL/WELD/EQUIP FAILURE","NON-THREADED CONNECTION FAILURE",2,0,2,0,"NO","NO","NO","","",0,0,1200,150,0,2000,4457,0,7807
"29",20100257,17800,2010,"1/21/2010 6:43 PM",15674,"PLANTATION PIPE LINE CO","KOLA PUMPING STATION","ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","GASOLINE (NON-ETHANOL)","","COLLINS","COVINGTON","MS",31.63251,-89.52266,"MATERIAL/WELD/EQUIP FAILURE","PUMP OR PUMP-RELATED EQUIPMENT",0.71,0,0.71,0,"NO","NO","","","",0,0,2130,0,0,670,0,0,2800
"30",20120021,17357,2010,"1/22/2010 12:05 PM",10012,"NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.","EL DORADO STATION","ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL","","EL DORADO","BUTLER COUNTY","KS",37.803255,-96.873398,"INCORRECT OPERATION","OVERFILL/OVERFLOW OF TANK/VESSEL/SUMP",1.2,0,1.2,0,"NO","NO","NO","","",0,0,0,0,0,3623,3263,1981,8867
"31",20100072,17806,2010,"1/24/2010 12:30 PM",19237,"TE PRODUCTS PIPELINE COMPANY, LLC","PRINCETON TERMINAL","ONSHORE","TANK","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID)","","PRINCETON","GIBSON","IN",38.32113,-87.34782,"MATERIAL/WELD/EQUIP FAILURE","THREADED CONNECTION/COUPLING FAILURE",1,0,0,1,"NO","NO","NO","","",0,0,2000,100,0,0,0,0,2100
"32",20100017,20768,2010,"1/25/2010 11:07 AM",11733,"LOOP INC","LOOP LLC","ONSHORE","ABOVEGROUND","CRUDE OIL","","","CUT OFF","LAFOURCHE","LA",29.47,-90.25444,"MATERIAL/WELD/EQUIP FAILURE","FAILURE OF EQUIPMENT BODY",202,0,202,0,"NO","NO","YES","1/25/2010 23:42","1/27/2010 14:00",0,0,30000,0,0,6e+05,37000,0,667000
"33",20100018,17492,2010,"1/27/2010 3:30 PM",31174,"SHELL PIPELINE CO., L.P.","PORT ARTHUR TK FM","ONSHORE","TANK","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL","","PORT ARTHUR","JEFFERSON","TX",29.8916,-93.9897,"ALL OTHER CAUSES","MISCELLANEOUS",0.6,0,0,0.6,"NO","NO","NO","","",0,0,50000,65,0,10000,0,0,60065
"35",20110376,17761,2010,"2/2/2010 8:00 AM",31476,"SEMGROUP LP","FLEMING STATION","ONSHORE","ABOVEGROUND","CRUDE OIL","","","HARPER","HARPER","KS",37.355914,-98.206945,"MATERIAL/WELD/EQUIP FAILURE","PUMP OR PUMP-RELATED EQUIPMENT",15,0,10,5,"NO","NO","","","",0,0,3000,500,0,2000,1000,0,6500
"36",20100244,17856,2010,"2/4/2010 3:10 PM",22430,"WEST SHORE PIPELINE CO","MITCHELL FIELD TERMINAL","ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL","","MILWAUKEE","MILWAUKEE","WI",42.9289,-87.8884,"NATURAL FORCE DAMAGE","TEMPERATURE",0.24,0,0.19,0.05,"NO","NO","","","",0,0,2500,35,0,0,1986,0,4521
"37",20100032,17394,2010,"2/6/2010 11:30 AM",22610,"MAGELLAN PIPELINE COMPANY, LP","EL DORADO WEST STATION","ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","GASOLINE (NON-ETHANOL)","","EL DORADO","BUTLER","KS",37.80218,-96.90935,"MATERIAL/WELD/EQUIP FAILURE","THREADED CONNECTION/COUPLING FAILURE",3,0,1.67,1.33,"NO","NO","","","",0,0,100,200,0,3000,1500,0,4800
"38",20100233,18026,2010,"2/8/2010 12:20 PM",31174,"SHELL PIPELINE CO., L.P.","ERATH - EAST HOUSTON CRUDE","ONSHORE","UNDERGROUND","CRUDE OIL","","","LAKE ARTHUR","JEFFERSON DAVIS","LA",30.0795,-92.7465,"MATERIAL/WELD/EQUIP FAILURE","CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",5,0,0,5,"NO","NO","YES","2/8/2010 12:21","2/10/2010 10:23",0,0,230000,400,30000,120000,0,0,380400
"39",20100256,17808,2010,"2/9/2010 10:00 AM",15674,"PLANTATION PIPE LINE CO","BATON ROUGE TANK FARM","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","GASOLINE (NON-ETHANOL)","","BATON ROUGE","EAST BATON ROUGE","LA",30.54741,-90.16677,"MATERIAL/WELD/EQUIP FAILURE","NON-THREADED CONNECTION FAILURE",0.64,0,0.64,0,"NO","NO","","","",0,0,500,0,0,450,0,0,950
"40",20100253,17861,2010,"2/9/2010 3:25 PM",1845,"BUCKEYE PARTNERS, LP","CLERMONT TERMINAL","ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL","","LINCOLN","HENDRICKS","IN",39.8106,-86.3342,"NATURAL FORCE DAMAGE","TEMPERATURE",0.71,0,0.71,0,"NO","NO","NO","","",0,0,0,0,0,2314,3063,0,5377
"41",20100001,15751,2010,"2/16/2010 7:42 AM",22610,"MAGELLAN PIPELINE COMPANY, LP","WAYNE JUNCTION","ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL","","WAYNE","DUPAGE","IL",41.94352,-88.23353,"MATERIAL/WELD/EQUIP FAILURE","NON-THREADED CONNECTION FAILURE",0.12,0,0.12,0,"NO","NO","NO","","",0,0,25900,15,0,1500,1900,1200,30515
"44",20100009,17618,2010,"2/20/2010 6:30 AM",18718,"SUNOCO PIPELINE L.P.","THOMAS STATION","ONSHORE","UNDERGROUND","CRUDE OIL","","","LONGVIEW","GREGG","TX",32.4785,-94.8679,"MATERIAL/WELD/EQUIP FAILURE","OTHER EQUIPMENT FAILURE",8,0,6,2,"NO","NO","YES","2/20/2010 6:35","2/20/2010 23:30",0,0,3449,152,0,5634,84278,0,93513
"45",20100005,17663,2010,"2/21/2010 12:45 PM",300,"PLAINS PIPELINE, L.P.","D-BOOSTER 10-INCH","ONSHORE","UNDERGROUND","CRUDE OIL","","","MCCAMEY","UPTON","TX",31.13284,-101.18974,"CORROSION","INTERNAL",9,0,9,0,"NO","NO","NO","","",0,0,700,585,0,600,11000,4600,17485
"46",20100003,18021,2010,"2/22/2010 10:38 AM",32035,"LDH ENERGY PIPELINE L.P.","W. TX. NGL","ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID)","","BIG SPRING","HOWARD","TX",32.22471,-101.4044,"CORROSION","EXTERNAL",1,116,0,1,"NO","NO","NO","","",0,0,0,2360,0,0,0,24500,26860
"48",20100007,17296,2010,"2/23/2010 11:30 PM",32109,"ONEOK NGL PIPELINE LP","HEARTLAND COUNCIL BLUFFS","ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","GASOLINE (NON-ETHANOL)","","COUNCIL BLUFFS","POTTAWATAMIE","IA",41.21235,-95.8301,"INCORRECT OPERATION","INCORRECT VALVE POSITION",28,0,0,28,"NO","NO","NO","","",0,0,0,2286,0,0,126721,0,129007
"49",20100008,19253,2010,"2/25/2010 4:50 AM",32109,"ONEOK NGL PIPELINE LP","10"" PIPELINE FROM HWY 64 JCT. TO MEDFORD PLANT","ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","OTHER HVL","RAW FEED","POND CREEK","GRANT","OK",36.6659,-97.8846,"INCORRECT OPERATION","PIPELINE/EQUIPMENT OVERPRESSURED",13718,0,0,13718,"NO","NO","YES","2/25/2010 6:45","3/22/2010 4:52",5,0,966352,622934,7500,3000,0,0,1599786
"50",20100010,18409,2010,"2/25/2010 10:00 AM",2552,"COLONIAL PIPELINE CO","","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL","","","","NC",35.48354,-80.7357,"MATERIAL/WELD/EQUIP FAILURE","NON-THREADED CONNECTION FAILURE",0.55,0,0.55,0,"NO","NO","","","",0,0,15200,50,0,0,0,700,15950
"51",20100014,17569,2010,"3/1/2010 8:10 AM",12470,"MID - VALLEY PIPELINE CO","LONGVIEW STATION","ONSHORE","UNDERGROUND","CRUDE OIL","","","LONGVIEW","GREGG","TX",32.48325,-94.83034,"CORROSION","INTERNAL",198,0,196,2,"NO","NO","YES","3/1/2010 8:12","3/1/2010 14:00",0,0,1134,150,0,11470,3264,0,16018
"52",20100011,17630,2010,"3/1/2010 9:16 AM",15774,"ENBRIDGE PIPELINES (NORTH DAKOTA) LLC","CLEARBROOK TERMINAL","ONSHORE","ABOVEGROUND","CRUDE OIL","","","CLEARBROOK","CLEARWATER","MN",47.68857,-95.41732,"INCORRECT OPERATION","OVERFILL/OVERFLOW OF TANK/VESSEL/SUMP",3,0,3,0,"NO","NO","YES","3/1/2010 9:17","3/1/2010 12:03",0,0,0,80,0,0,3000,16000,19080
"54",20100020,17733,2010,"3/3/2010 10:20 PM",31618,"ENTERPRISE PRODUCTS OPERATING LLC","","OFFSHORE","","CRUDE OIL","","","","","",28.10406,-90.79238,"MATERIAL/WELD/EQUIP FAILURE","THREADED CONNECTION/COUPLING FAILURE",0.5,0,0,0.5,"NO","NO","NO","","",0,0,100,75,0,598,0,0,773
"55",20100012,15228,2010,"3/4/2010 5:30 AM",2552,"COLONIAL PIPELINE CO","LAKE CHARLES LINE 1 DYNATROL","ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","GASOLINE (NON-ETHANOL)","","SULPHUR","CALCASIEU","LA",30.16801,-93.34001,"MATERIAL/WELD/EQUIP FAILURE","PUMP OR PUMP-RELATED EQUIPMENT",7.88,0,7.08,0.8,"NO","NO","YES","3/4/2010 5:30","3/4/2010 7:30",0,0,7000,500,13000,15000,27000,2500,65000
"57",20100013,17335,2010,"3/8/2010 11:01 AM",15156,"SINCLAIR TRANSPORTATION COMPANY","MID-CONTINENT PIPELINE SYSTEM","ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL","","CARROLLTON","CARROLL","MO",39.36359,-93.45965,"MATERIAL/WELD/EQUIP FAILURE","DEFECTIVE OR LOOSE TUBING/FITTING",84,0,83,1,"NO","NO","NO","","",0,0,0,90,0,5849,5348,0,11287
"58",20100061,17416,2010,"3/8/2010 11:30 AM",22610,"MAGELLAN PIPELINE COMPANY, LP","KANSAS CITY STATION","ONSHORE","TANK","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","GASOLINE (NON-ETHANOL)","","KANSAS CITY","WYANDOTTE","KS",39.13844,-94.60013,"NATURAL FORCE DAMAGE","TEMPERATURE",168,0,75,93,"NO","NO","NO","","",0,0,0,11625,0,1000,72995,0,85620
"61",20100034,18573,2010,"3/11/2010 10:00 AM",11169,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP","SUPERIOR TERMINAL","ONSHORE","UNDERGROUND","CRUDE OIL","","","SUPERIOR","DOUGLAS","WI",46.68889,-92.05972,"NATURAL FORCE DAMAGE","TEMPERATURE",0.75,0,0.75,0,"NO","NO","NO","","",0,0,1000,60,0,5000,2000,0,8060
"62",20100035,17406,2010,"3/14/2010 10:04 PM",22610,"MAGELLAN PIPELINE COMPANY, LP","MILFORD TERMINAL","ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL","","MILFORD","DICKINSON","IA",43.29183,-95.15157,"NATURAL FORCE DAMAGE","OTHER NATURAL FORCE DAMAGE",115,0,45,70,"NO","NO","YES","3/14/2010 22:05","3/17/2010 15:15",0,0,50,9000,2500,340000,160000,0,511550
"64",20100019,17461,2010,"3/15/2010 10:00 AM",30829,"TEPPCO CRUDE PIPELINE, LLC","","ONSHORE","ABOVEGROUND","CRUDE OIL","","","HOBBS","LEA","NM",32.652,-103.1393,"MATERIAL/WELD/EQUIP FAILURE","PUMP OR PUMP-RELATED EQUIPMENT",2,0,2,0,"NO","NO","NO","","",0,0,1000,160,0,0,0,0,1160
"66",20100042,15676,2010,"3/16/2010 11:10 AM",18092,"SFPP, LP","LS 20","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","MIXTURE OF REFINED PRODUCTS (TRANSMIX OR OTHER MIXTURE)","","SACRAMENTO","SACRAMENTO","CA",38.5997,-121.4483,"CORROSION","INTERNAL",48,0,5.12,42.88,"NO","NO","YES","3/16/2010 11:16","3/18/2010 1:16",0,0,60000,490,0,70000,299510,50000,480000
"67",20100041,18578,2010,"3/18/2010 3:30 PM",31947,"ENBRIDGE PIPELINES (OZARK) L.L.C.","CUSHING TERMINAL","ONSHORE","UNDERGROUND","CRUDE OIL","","","CUSHING","PAYNE","OK",35.95885,-96.75655,"CORROSION","EXTERNAL",7,0,7,0,"NO","NO","YES","3/18/2010 16:00","",0,0,25000,0,0,6000,5000,18000,54000
"68",20100048,17901,2010,"3/20/2010 12:03 PM",31325,"PACIFIC PIPELINE SYSTEM LLC","KELLEY PUMP STATION","ONSHORE","UNDERGROUND","CRUDE OIL","","","METTLER","KERN","CA",35.01937,-119.06305,"CORROSION","INTERNAL",240,0,240,0,"NO","NO","YES","3/20/2010 12:53","3/23/2010 17:00",0,0,0,800,0,2000,8000,6000,16800
"69",20100044,17525,2010,"3/21/2010 1:00 AM",31189,"BP PIPELINE (NORTH AMERICA) INC.","MOKENA STATION","ONSHORE","ABOVEGROUND","CRUDE OIL","","","MOKENA","WILL","IL",41.5569,-87.8861,"MATERIAL/WELD/EQUIP FAILURE","DEFECTIVE OR LOOSE TUBING/FITTING",90,0,90,0,"NO","NO","YES","3/21/2010 8:45","3/24/2010 8:00",0,0,12000,6500,0,120000,20000,0,158500
"70",20100051,18935,2010,"3/22/2010 1:30 PM",31189,"BP PIPELINE (NORTH AMERICA) INC.","TEXAS CITY CRUDE","ONSHORE","ABOVEGROUND","CRUDE OIL","","","TEXAS CITY","GALVESTON","TX",29.39972,-94.96417,"MATERIAL/WELD/EQUIP FAILURE","OTHER EQUIPMENT FAILURE",0.47,0,0.47,0,"NO","NO","NO","","",0,0,70000,30,0,36000,0,0,106030
"71",20100046,18410,2010,"3/23/2010 2:00 PM",2552,"COLONIAL PIPELINE CO","BATON ROUGE STATION","ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","GASOLINE (NON-ETHANOL)","","JACKSON","EAST FELICIANA","LA",30.71121,-91.28349,"CORROSION","INTERNAL",1.35,0,1.35,0,"NO","NO","","","",0,0,166,107,0,4500,0,0,4773
"73",20100049,18576,2010,"3/24/2010 8:00 AM",31947,"ENBRIDGE PIPELINES (OZARK) L.L.C.","CUSHING TERMINAL SOUTH","ONSHORE","ABOVEGROUND","CRUDE OIL","","","CUSHING","LINCOLN","OK",35.93985,-96.75629,"MATERIAL/WELD/EQUIP FAILURE","NON-THREADED CONNECTION FAILURE",0.25,0,0.25,0,"NO","NO","","","",0,0,600,0,0,400,350,0,1350
